forecast_basis,horizon,output_metric,input_parameter,pearson_correlation,interpretation
probability_weighted,five_year_cumulative,net_causal_cash,direct_cause_fit,0.177972912055,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_demand_fraction,0.22143779862,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_match_efficiency,0.240048220641,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_price_fit,0.0696071791658,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_price_reference_scale,-0.00191634615632,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_skilled_category_share,0.0380917086784,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_supply_fraction,0.207940297873,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_timing_fit,0.125291207088,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_wta_multiplier,-0.0477732406922,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,direct_wtp_multiplier,0.0456791313154,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,displacement_fraction_12m,-0.0284005766617,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,displacement_fraction_90d,-0.0117575188596,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,evidence_acceptance,0.122851109846,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,failed_settlement_loss_rate,-0.068886766099,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,field_concentration,0.00548244297214,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,legal_cash_cost_per_user_year,-0.0695634173134,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,market_liquidity,0.393220069053,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,operational_probability,0.178937249287,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,ordinary_time_use_share,0.17857199607,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,platform_trust,0.302006374627,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,processor_fee_rate,-0.0493478044416,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,redirect_addon_ratio,0.089549793374,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,redirect_compatibility,0.414726134961,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,redirect_high_impact_share,-0.0599784273578,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,redirect_lower_impact_share,0.0389356005669,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,redirect_min_fill_loss,-0.194655666191,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,redirect_settlement_loss,-0.111106844202,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,refund_loss_rate,-0.0671764541373,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,reliability,0.197695087103,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,repeat_use,0.302836452543,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,review_cash_cost_per_user_year,-0.074476336373,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,security_cash_cost_per_user_year,-0.0745811664316,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,skilled_time_use_share,0.156733909491,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,support_cash_cost_per_user_year,-0.0806047273176,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,support_hours_per_support_user_year,-0.02601089891,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,time_additionality,0.0624516771614,screening_association_not_causal_or_sobol
probability_weighted,five_year_cumulative,net_causal_cash,timing_shift_fraction,-0.00578725409012,screening_association_not_causal_or_sobol
