month,year,target_active,ea_active,non_ea_active,support_only_active,transaction_active,retained_active,new_active,activated_active,activation_prospects,churned_active,repeat_active
39,4,162500,65000,97500,24375,138125,151276.416667,11223.5833333,11223.5833333,24926.0398586,7056.91666667,69287.5058333
40,4,166666.666667,66666.6666667,100000,25000,141666.666667,155257.375,11409.2916667,11409.2916667,25342.8497773,7242.625,71110.86125
41,4,170833.333333,68333.3333333,102500,25625,145208.333333,159238.333333,11595,11595,25759.659696,7428.33333333,72934.2166667
42,4,175000,70000,105000,26250,148750,163219.291667,11780.7083333,11780.7083333,26176.4696148,7614.04166667,74757.5720833
43,4,179166.666667,71666.6666667,107500,26875,152291.666667,167200.25,11966.4166667,11966.4166667,26593.2795335,7799.75,76580.9275
44,4,183333.333333,73333.3333333,110000,27500,155833.333333,171181.208333,12152.125,12152.125,27010.0894522,7985.45833333,78404.2829167
45,4,187500,75000,112500,28125,159375,175162.166667,12337.8333333,12337.8333333,27426.8993709,8171.16666667,80227.6383333
46,4,191666.666667,76666.6666667,115000,28750,162916.666667,179143.125,12523.5416667,12523.5416667,27843.7092897,8356.875,82050.99375
47,4,195833.333333,78333.3333333,117500,29375,166458.333333,183124.083333,12709.25,12709.25,28260.5192084,8542.58333333,83874.3491667
48,4,200000,80000,120000,30000,170000,187105.041667,12894.9583333,12894.9583333,28677.3291271,8728.29166667,85697.7045833
49,5,204166.666667,81666.6666667,122500,30625,173541.666667,191086,13080.6666667,13080.6666667,29094.1390458,8914,87521.06
50,5,208333.333333,83333.3333333,125000,31250,177083.333333,195066.958333,13266.375,13266.375,29510.9489646,9099.70833333,89344.4154167
51,5,212500,85000,127500,31875,180625,199047.916667,13452.0833333,13452.0833333,29927.7588833,9285.41666667,91167.7708333
52,5,216666.666667,86666.6666667,130000,32500,184166.666667,203028.875,13637.7916667,13637.7916667,30344.568802,9471.125,92991.12625
53,5,220833.333333,88333.3333333,132500,33125,187708.333333,207009.833333,13823.5,13823.5,30761.3787207,9656.83333333,94814.4816667
54,5,225000,90000,135000,33750,191250,210990.791667,14009.2083333,14009.2083333,31178.1886395,9842.54166667,96637.8370833
55,5,229166.666667,91666.6666667,137500,34375,194791.666667,214971.75,14194.9166667,14194.9166667,31594.9985582,10028.25,98461.1925
56,5,233333.333333,93333.3333333,140000,35000,198333.333333,218952.708333,14380.625,14380.625,32011.8084769,10213.9583333,100284.547917
57,5,237500,95000,142500,35625,201875,222933.666667,14566.3333333,14566.3333333,32428.6183956,10399.6666667,102107.903333
58,5,241666.666667,96666.6666667,145000,36250,205416.666667,226914.625,14752.0416667,14752.0416667,32845.4283144,10585.375,103931.25875
59,5,245833.333333,98333.3333333,147500,36875,208958.333333,230895.583333,14937.75,14937.75,33262.2382331,10771.0833333,105754.614167
60,5,250000,100000,150000,37500,212500,234876.541667,15123.4583333,15123.4583333,33679.0481518,10956.7916667,107577.969583
