scenario,forecast_basis,horizon,metric,field,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,evidence_status
central,conditional,year_5_annual,ordinary_action_hours,residual_existential_risk_prevention,hours,200000,69520260814,15.0673064418,0.364999789251,0,0,0,5.67244604275,29.4123796788,66.4560474144,0.36347,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,preventing_extreme_power_concentration,hours,200000,69520260814,9.11909045797,0.217258789299,0,0,0,3.4083140672,17.76342984,40.007087778,0.363795,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,biorisk_prevention,hours,200000,69520260814,10.1634316904,0.242381478699,0,0,0,3.78915944326,19.5372097402,44.3866886568,0.36373,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,space_governance,hours,200000,69520260814,5.25698619334,0.126083398209,0,0,0,1.96331513488,10.1699910645,23.0204266899,0.363865,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,global_health,hours,200000,69520260814,22.559049271,0.551079492362,0,0,0,8.54496031217,44.3121963431,99.5831477515,0.363825,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,strategic_reasoning,hours,200000,69520260814,13.9195283938,0.333726024107,0,0,0,5.26329137868,27.1636074471,61.6989850509,0.364115,especially_prior_driven_appendix_only
central,conditional,year_5_annual,ordinary_action_hours,environmental_protection,hours,200000,69520260814,34.7353894347,0.852246221763,0,0,0,13.2630794672,68.0653932759,152.756110084,0.363915,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,factory_farming_reduction,hours,200000,69520260814,12.2781216168,0.231035027269,0,0,0,3.92916287701,21.9548310618,51.7214454498,0.36438,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,wild_animal_suffering,hours,200000,69520260814,1.88844144987,0.0351150015523,0,0,0,0.595210049189,3.35624894855,7.9417616261,0.36348,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,residual_existential_risk_prevention,hours,200000,69520260814,4.70303337352,0.0877555640345,0,0,0,1.49486188818,8.4005040638,19.6556438339,0.36372,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,preventing_extreme_power_concentration,hours,200000,69520260814,2.82488883537,0.0524273660415,0,0,0,0.899305668873,5.05635675888,11.8837037742,0.363965,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,biorisk_prevention,hours,200000,69520260814,3.45056865303,0.0639647399201,0,0,0,1.08950415526,6.14133042313,14.4346982621,0.363685,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,space_governance,hours,200000,69520260814,1.75527607016,0.0324728896186,0,0,0,0.553055986889,3.1437862437,7.39685539852,0.363945,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,global_health,hours,200000,69520260814,6.17888290706,0.115264343285,0,0,0,1.97436341288,11.0861346165,26.098654546,0.364165,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,strategic_reasoning,hours,200000,69520260814,4.07968721734,0.0754101308131,0,0,0,1.28955110931,7.25570189918,17.2723091514,0.364205,especially_prior_driven_appendix_only
central,conditional,year_5_annual,skilled_work_hours,environmental_protection,hours,200000,69520260814,7.75322071382,0.145478838303,0,0,0,2.46865309844,13.8020342376,32.6650629856,0.363435,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,factory_farming_reduction,USD,200000,69520260814,168566.408068,97889.877908,6295.72080873,13122.4413732,37465.3630606,222794.586833,413708.839006,571334.517909,0.000355,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,wild_animal_suffering,USD,200000,69520260814,32997.9695462,19196.796635,1288.31119535,2625.12816492,7364.75249331,43229.0719493,80601.2382266,111574.002282,0.000375,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,residual_existential_risk_prevention,USD,200000,69520260814,105957.188148,62343.2315817,4133.59121938,8581.33699808,24035.1424268,139925.065018,258628.325245,357108.263282,0.00039,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,preventing_extreme_power_concentration,USD,200000,69520260814,148657.115367,87297.5669637,4950.16946624,11226.3519783,32808.3853175,197307.308802,364598.268264,502752.055738,0.000305,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,biorisk_prevention,USD,200000,69520260814,76616.1113497,44775.7382748,2860.93912459,6002.00595123,17098.1610502,100862.995721,187338.303641,258780.420211,0.00027,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,space_governance,USD,200000,69520260814,39722.8143865,23121.4683701,1541.68799514,3172.71189929,8923.82172397,51998.0402912,97099.7420241,134467.749667,0.000275,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,global_health,USD,200000,69520260814,224102.595003,132021.154798,7882.33772164,17253.3154645,50256.3395174,298388.055788,550506.971145,754827.110763,0.000355,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,strategic_reasoning,USD,200000,69520260814,54616.533421,31689.2071852,2229.5155296,4470.65626468,12302.5130728,71421.392369,133167.0935,184179.119993,0.00028,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,cause_directed_cash,environmental_protection,USD,200000,69520260814,184784.0333,107756.515523,6476.97028513,14099.3243854,40878.6616495,244296.216523,453961.25035,626676.181135,0.000345,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,factory_farming_reduction,hours,200000,69520260814,154.811803295,3.82671672258,0,0,0,59.1673388925,304.95673607,687.379863208,0.36392,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,wild_animal_suffering,hours,200000,69520260814,17.0293272423,0.40762357302,0,0,0,6.40884255417,33.2904674632,74.7757756266,0.363995,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,residual_existential_risk_prevention,hours,200000,69520260814,42.1608116031,1.02132968552,0,0,0,15.8724407618,82.3006954315,185.954995059,0.36347,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,preventing_extreme_power_concentration,hours,200000,69520260814,25.5167210062,0.607925970056,0,0,0,9.53702560089,49.7050101027,111.946438278,0.363795,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,biorisk_prevention,hours,200000,69520260814,28.4389602347,0.678223403698,0,0,0,10.602693855,54.6683391812,124.201284774,0.36373,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,space_governance,hours,200000,69520260814,14.7099154951,0.352802169299,0,0,0,5.49367996457,28.4573144466,64.4149554168,0.363865,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,global_health,hours,200000,69520260814,63.1239452077,1.54201142358,0,0,0,23.9102100478,123.992842978,278.650092332,0.363825,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,strategic_reasoning,hours,200000,69520260814,38.9491390837,0.93382052617,0,0,0,14.7275584449,76.0082593703,172.643948996,0.364115,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,ordinary_action_hours,environmental_protection,hours,200000,69520260814,97.1953557576,2.3847256664,0,0,0,37.1122865825,190.458210543,427.436821795,0.363915,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,factory_farming_reduction,hours,200000,69520260814,34.3562118634,0.646474158871,0,0,0,10.9944465825,61.4332428793,144.725145525,0.36438,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,wild_animal_suffering,hours,200000,69520260814,5.28417102946,0.0982575731508,0,0,0,1.6654960092,9.39133880098,22.2223605134,0.36348,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,residual_existential_risk_prevention,hours,200000,69520260814,13.1598640268,0.245554559913,0,0,0,4.18287042107,23.5059976097,54.9997373334,0.36372,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,preventing_extreme_power_concentration,hours,200000,69520260814,7.90450545676,0.146700427914,0,0,0,2.5164057707,14.148521206,33.2525656066,0.363965,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,biorisk_prevention,hours,200000,69520260814,9.65526090986,0.178983905281,0,0,0,3.04861254453,17.1844566886,40.390669449,0.363685,especially_prior_driven_appendix_only
