scenario,forecast_basis,diagnostic,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,evidence_status
trust_evidence_failure,conditional,dac_cash_latent_credit,causal_credit,200000,69520460820,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520460820,34.0667519344,21.6704247632,0,0,0,48.2457193127,85.5882282256,117.727531157,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_cash_latent_credit,causal_credit,200000,69520460820,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_labor_latent_credit,causal_credit,200000,69520460820,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520460820,61.159603135,38.8523847031,8.16673208336,11.4688387312,20.5218834299,73.8376913056,131.682947717,186.499169913,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_price_compatible,indicator,200000,69520460820,0.6553,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_price_overlap,proportion,200000,69520460820,0.302796148051,0.315781312917,0,0,0,0.522345039662,0.666793502106,0.732800373326,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520460820,40.1908693048,29.4675321021,8.06288860594,10.7660129746,17.3881404417,50.184745986,80.9247146797,107.705793023,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,conditional,redirect_cash_latent_credit,causal_credit,200000,69520460820,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530460839,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530460839,34.1608347234,21.8478079859,0,0,0,48.38061178,85.3258579564,117.319216852,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530460839,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530460839,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530460839,61.3235864771,38.9938498414,8.16029589112,11.5412654612,20.4641310688,74.0274243131,131.305436134,186.398525236,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_price_compatible,indicator,200000,69530460839,0.657755,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_price_overlap,proportion,200000,69530460839,0.304047851206,0.317066441368,0,0,0,0.524451983533,0.668549718268,0.733726009403,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69530460839,40.203404434,29.5083841073,8.10207889365,10.7613783267,17.374544169,50.1619496214,80.4935779924,107.190696984,prior_driven_structural_diagnostic_not_empirical
trust_evidence_failure,probability_weighted,redirect_cash_latent_credit,causal_credit,200000,69530460839,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,dac_cash_latent_credit,causal_credit,200000,69520560823,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520560823,33.9562107282,21.7553846324,0,0,0,48.0935412404,85.1148698672,117.011132441,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,direct_cash_latent_credit,causal_credit,200000,69520560823,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,direct_labor_latent_credit,causal_credit,200000,69520560823,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520560823,60.9568493104,39.0835369437,8.11929893828,11.5000155155,20.5379674721,73.8426516452,131.111514001,184.589764246,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,direct_price_compatible,indicator,200000,69520560823,0.65571,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,direct_price_overlap,proportion,200000,69520560823,0.302537483286,0.315416382747,0,0,0,0.522163038269,0.665959496169,0.733437731201,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520560823,40.3078933174,29.5045657097,8.09762652513,10.8034092641,17.3951042427,50.2375643444,81.1293115177,108.074149964,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,conditional,redirect_cash_latent_credit,causal_credit,200000,69520560823,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530560842,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530560842,33.8774245383,21.732956509,0,0,0,48.0903259679,84.8631276619,116.15901572,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530560842,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530560842,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530560842,60.723774867,38.8130400106,8.17998002498,11.5126359164,20.5026620934,73.4287200478,130.817562756,184.245874802,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,direct_price_compatible,indicator,200000,69530560842,0.657655,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,direct_price_overlap,proportion,200000,69530560842,0.303050560468,0.316213302674,0,0,0,0.521920666261,0.666255140345,0.732390421142,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69530560842,40.0790872956,29.4532713862,8.06324772484,10.7573440019,17.344713356,50.0908704137,80.7076471768,106.850342027,prior_driven_structural_diagnostic_not_empirical
redirect_dominant,probability_weighted,redirect_cash_latent_credit,causal_credit,200000,69530560842,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,dac_cash_latent_credit,causal_credit,200000,69520660826,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520660826,34.0100707706,21.7372582061,0,0,0,48.2521102668,85.0409317456,117.057405719,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,direct_cash_latent_credit,causal_credit,200000,69520660826,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,direct_labor_latent_credit,causal_credit,200000,69520660826,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520660826,61.1680436258,39.1211908562,8.19891263405,11.5703663759,20.6242727341,73.6576313943,131.345768278,185.450887855,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,direct_price_compatible,indicator,200000,69520660826,0.655425,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,direct_price_overlap,proportion,200000,69520660826,0.302391972906,0.314511294339,0,0,0,0.522242343651,0.666206735638,0.732476501675,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520660826,40.2961656777,29.6527139115,8.13907902906,10.8060438722,17.4543342018,50.2384175463,80.760293052,107.798681486,prior_driven_structural_diagnostic_not_empirical
