scenario,forecast_basis,horizon,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,probability_zero_or_negative,probability_negligible,probability_gt_100k,probability_gt_500k,probability_gt_1m,probability_gt_5m,evidence_status
central,conditional,year_1,completed_learning_forecasting_strategic_reasoning,commitments_or_groups,200000,69520260814,12.2431999798,3.60159743912,0.110552784,0.255902512667,0.948177301238,11.8114717154,30.5968530252,51.3882785417,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,successful_dac_projects,projects,200000,69520260814,0.753610567497,0.253753685407,0.0304027271275,0.0480656993743,0.106626139863,0.590696873823,1.39060803245,2.61109659511,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,lapsed_dac_projects,projects,200000,69520260814,30.7265219407,18.2685738451,3.42146832921,4.96386450188,9.18220515687,36.4287701054,67.7910989371,97.5539328831,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_project_funding,USD,200000,69520260814,2079.166441,1024.08715391,38.7603247615,77.5172175074,256.070689986,2755.96253648,4497.3852059,6942.96330001,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_project_target,USD,200000,69520260814,205058.349755,56585.8511247,4087.56146582,7265.42207875,19375.8463482,167798.25,449438.372107,805692.644557,0,0,0,0.362475,0.088995,0.037535,0.00255,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_gross_threshold,USD,200000,69520260814,230748.563655,61049.4987987,4217.99061184,7517.51156133,20259.9693949,189078.045729,508489.149985,911139.280436,0,0,0,0.385865,0.101825,0.044405,0.00317,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_required_surcharge,USD_internal_threshold_component,200000,69520260814,25690.2138993,4391.25761968,129.59322765,251.360271229,885.444217764,21280.934484,58041.8561787,106493.918107,0,0,0,0.054095,0.00442,0.00117,1e-05,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_surcharge_inflow,USD_internal_transfer,200000,69520260814,219.016154401,82.8364984232,1.27298567922,2.82745340049,12.8620197465,353.667301275,518.69613376,730.592021385,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_bonus_liability_locked,USD_internal_liability,200000,69520260814,1083.56146353,695.118270482,23.3829418731,50.4417979529,177.711606616,2376.69569783,2500,2500,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_bonus_liability_released,USD_internal_liability,200000,69520260814,126.773164267,60.8140722896,2.13422816135,4.30078199666,14.5893267828,170.435059359,275.719366882,423.001788241,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_bonus_paid,USD_internal_transfer,200000,69520260814,956.788299262,606.176539817,20.48799581,45.0418144699,159.54080848,1936.12416824,2315.29742895,2333.1935968,0.000855,0.00072,0.000855,0,0,0,0,prior_driven_synthetic_not_empirical
