scenario,forecast_basis,draws,seed,invariant,observed_max,tolerance,passed
thin_market,probability_weighted,200000,69530360836,max_net_cash_reconciliation_error,9.89530235529e-10,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_redirect_classification_reconciliation_error,2.32830643654e-10,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_redirect_principal_reconciliation_error,0,1e-07,True
thin_market,probability_weighted,200000,69530360836,max_redirect_settlement_reconciliation_error,3.49245965481e-10,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_cash_budget_overage,-247.719944879,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_accepted_over_willing_pledge,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_liability_over_reserve,3.63797880709e-12,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_liability_settlement_error,7.27595761418e-12,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_principal_reconciliation_error,1.60071067512e-10,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_reserve_reconciliation_error,2.18278728426e-11,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_threshold_reconciliation_error,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_dac_waiting_reconciliation_error,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_accepted_price_above_wtp,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_accepted_price_below_wta,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_completion_over_match,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_match_over_supply,-66.8976859243,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_match_without_price_compatibility,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_offered_over_time_budget,-150372.604305,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_payment_over_demand,-185.878221687,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_direct_payment_reconciliation_error,1.45519152284e-11,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_displacement_over_new_cash,-0.0261125999302,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_field_cash_reconciliation_error,2.79396772385e-09,1e-05,True
trust_evidence_failure,conditional,200000,69520460820,max_field_ordinary_reconciliation_error,7.27595761418e-12,1e-05,True
trust_evidence_failure,conditional,200000,69520460820,max_field_skilled_reconciliation_error,9.09494701773e-13,1e-05,True
trust_evidence_failure,conditional,200000,69520460820,max_net_cash_reconciliation_error,9.31322574615e-10,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_redirect_classification_reconciliation_error,4.65661287308e-10,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_redirect_principal_reconciliation_error,0,1e-07,True
trust_evidence_failure,conditional,200000,69520460820,max_redirect_settlement_reconciliation_error,3.49245965481e-10,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_cash_budget_overage,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_accepted_over_willing_pledge,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_liability_over_reserve,7.27595761418e-12,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_liability_settlement_error,7.27595761418e-12,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_principal_reconciliation_error,1.30967237055e-10,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_reserve_reconciliation_error,2.91038304567e-11,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_threshold_reconciliation_error,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_dac_waiting_reconciliation_error,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_accepted_price_above_wtp,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_accepted_price_below_wta,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_completion_over_match,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_match_over_supply,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_match_without_price_compatibility,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_offered_over_time_budget,0,1e-07,True
